date,week_id
2012-01-01,49
2012-01-02,49
2012-01-03,49
2012-01-04,49
2012-01-05,49
2012-01-06,49
2012-01-07,50
2012-01-08,50
2012-01-09,50
2012-01-10,50
2012-01-11,50
2012-01-12,50
2012-01-13,50
2012-01-14,51
2012-01-15,51
2012-01-16,51
2012-01-17,51
2012-01-18,51
2012-01-19,51
2012-01-20,51
2012-01-21,52
2012-01-22,52
2012-01-23,52
2012-01-24,52
2012-01-25,52
2012-01-26,52
2012-01-27,52
2012-01-28,53
2012-01-29,53
2012-01-30,53
2012-01-31,53
2012-02-01,53
2012-02-02,53
2012-02-03,53
2012-02-04,54
2012-02-05,54
2012-02-06,54
2012-02-07,54
2012-02-08,54
2012-02-09,54
2012-02-10,54
2012-02-11,55
2012-02-12,55
2012-02-13,55
2012-02-14,55
2012-02-15,55
2012-02-16,55
2012-02-17,55
2012-02-18,56
2012-02-19,56
2012-02-20,56
2012-02-21,56
2012-02-22,56
2012-02-23,56
2012-02-24,56
2012-02-25,57
2012-02-26,57
2012-02-27,57
2012-02-28,57
2012-02-29,57
2012-03-01,57
2012-03-02,57
2012-03-03,58
2012-03-04,58
2012-03-05,58
2012-03-06,58
2012-03-07,58
2012-03-08,58
2012-03-09,58
2012-03-10,59
2012-03-11,59
2012-03-12,59
2012-03-13,59
2012-03-14,59
2012-03-15,59
2012-03-16,59
2012-03-17,60
2012-03-18,60
2012-03-19,60
2012-03-20,60
2012-03-21,60
2012-03-22,60
2012-03-23,60
2012-03-24,61
2012-03-25,61
2012-03-26,61
2012-03-27,61
2012-03-28,61
2012-03-29,61
2012-03-30,61
2012-03-31,62
2012-04-01,62
2012-04-02,62
2012-04-03,62
2012-04-04,62
2012-04-05,62
2012-04-06,62
2012-04-07,63
2012-04-08,63
2012-04-09,63
2012-04-10,63
2012-04-11,63
2012-04-12,63
2012-04-13,63
2012-04-14,64
2012-04-15,64
2012-04-16,64
2012-04-17,64
2012-04-18,64
2012-04-19,64
2012-04-20,64
2012-04-21,65
2012-04-22,65
2012-04-23,65
2012-04-24,65
2012-04-25,65
2012-04-26,65
2012-04-27,65
2012-04-28,66
2012-04-29,66
2012-04-30,66
2012-05-01,66
2012-05-02,66
2012-05-03,66
2012-05-04,66
2012-05-05,67
2012-05-06,67
2012-05-07,67
2012-05-08,67
2012-05-09,67
2012-05-10,67
2012-05-11,67
2012-05-12,68
2012-05-13,68
2012-05-14,68
2012-05-15,68
2012-05-16,68
2012-05-17,68
2012-05-18,68
2012-05-19,69
2012-05-20,69
2012-05-21,69
2012-05-22,69
2012-05-23,69
2012-05-24,69
2012-05-25,69
2012-05-26,70
2012-05-27,70
2012-05-28,70
2012-05-29,70
2012-05-30,70
2012-05-31,70
2012-06-01,70
2012-06-02,71
2012-06-03,71
2012-06-04,71
2012-06-05,71
2012-06-06,71
2012-06-07,71
2012-06-08,71
2012-06-09,72
2012-06-10,72
2012-06-11,72
2012-06-12,72
2012-06-13,72
2012-06-14,72
2012-06-15,72
2012-06-16,73
2012-06-17,73
2012-06-18,73
2012-06-19,73
2012-06-20,73
2012-06-21,73
2012-06-22,73
2012-06-23,74
2012-06-24,74
2012-06-25,74
2012-06-26,74
2012-06-27,74
2012-06-28,74
2012-06-29,74
2012-06-30,75
2012-07-01,75
2012-07-02,75
2012-07-03,75
2012-07-04,75
2012-07-05,75
2012-07-06,75
2012-07-07,76
2012-07-08,76
2012-07-09,76
2012-07-10,76
2012-07-11,76
2012-07-12,76
2012-07-13,76
2012-07-14,77
2012-07-15,77
2012-07-16,77
2012-07-17,77
2012-07-18,77
2012-07-19,77
2012-07-20,77
2012-07-21,78
2012-07-22,78
2012-07-23,78
2012-07-24,78
2012-07-25,78
2012-07-26,78
2012-07-27,78
2012-07-28,79
2012-07-29,79
2012-07-30,79
2012-07-31,79
2012-08-01,79
2012-08-02,79
2012-08-03,79
2012-08-04,80
2012-08-05,80
2012-08-06,80
2012-08-07,80
2012-08-08,80
2012-08-09,80
2012-08-10,80
2012-08-11,81
2012-08-12,81
2012-08-13,81
2012-08-14,81
2012-08-15,81
2012-08-16,81
2012-08-17,81
2012-08-18,82
2012-08-19,82
2012-08-20,82
2012-08-21,82
2012-08-22,82
2012-08-23,82
2012-08-24,82
2012-08-25,83
2012-08-26,83
2012-08-27,83
2012-08-28,83
2012-08-29,83
2012-08-30,83
2012-08-31,83
2012-09-01,84
2012-09-02,84
2012-09-03,84
2012-09-04,84
2012-09-05,84
2012-09-06,84
2012-09-07,84
2012-09-08,85
2012-09-09,85
2012-09-10,85
2012-09-11,85
2012-09-12,85
2012-09-13,85
2012-09-14,85
2012-09-15,86
2012-09-16,86
2012-09-17,86
2012-09-18,86
2012-09-19,86
2012-09-20,86
2012-09-21,86
2012-09-22,87
2012-09-23,87
2012-09-24,87
2012-09-25,87
2012-09-26,87
2012-09-27,87
2012-09-28,87
2012-09-29,88
2012-09-30,88
2012-10-01,88
2012-10-02,88
2012-10-03,88
2012-10-04,88
2012-10-05,88
2012-10-06,89
2012-10-07,89
2012-10-08,89
2012-10-09,89
2012-10-10,89
2012-10-11,89
2012-10-12,89
2012-10-13,90
2012-10-14,90
2012-10-15,90
2012-10-16,90
2012-10-17,90
2012-10-18,90
2012-10-19,90
2012-10-20,91
2012-10-21,91
2012-10-22,91
2012-10-23,91
2012-10-24,91
2012-10-25,91
2012-10-26,91
2012-10-27,92
2012-10-28,92
2012-10-29,92
2012-10-30,92
2012-10-31,92
2012-11-01,92
2012-11-02,92
2012-11-03,93
2012-11-04,93
2012-11-05,93
2012-11-06,93
2012-11-07,93
2012-11-08,93
2012-11-09,93
2012-11-10,94
2012-11-11,94
2012-11-12,94
2012-11-13,94
2012-11-14,94
2012-11-15,94
2012-11-16,94
2012-11-17,95
2012-11-18,95
2012-11-19,95
2012-11-20,95
2012-11-21,95
2012-11-22,95
2012-11-23,95
2012-11-24,96
2012-11-25,96
2012-11-26,96
2012-11-27,96
2012-11-28,96
2012-11-29,96
2012-11-30,96
2012-12-01,97
2012-12-02,97
2012-12-03,97
2012-12-04,97
2012-12-05,97
2012-12-06,97
2012-12-07,97
2012-12-08,98
2012-12-09,98
2012-12-10,98
2012-12-11,98
2012-12-12,98
2012-12-13,98
2012-12-14,98
2012-12-15,99
2012-12-16,99
2012-12-17,99
2012-12-18,99
2012-12-19,99
2012-12-20,99
2012-12-21,99
2012-12-22,100
2012-12-23,100
2012-12-24,100
2012-12-25,100
2012-12-26,100
2012-12-27,100
2012-12-28,100
2012-12-29,101
2012-12-30,101
2012-12-31,101
2013-01-01,101
2013-01-02,101
2013-01-03,101
2013-01-04,101
2013-01-05,102
2013-01-06,102
2013-01-07,102
2013-01-08,102
2013-01-09,102
2013-01-10,102
